objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,event,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,,,,,,,,,
coll044,20200502-151621.jpg,,,20200502-151621.jpg,,2020,,,,,,,,,,image/jpeg,,,,,,,,,,,,
coll045,20200502-151638.jpg,,,20200502-151638.jpg,,2020,,,,,,,,,,image/jpeg,,,,,,,,,,,,
coll046,20200502-152337.jpg,,,20200502-152337.jpg,,2020,,,,,,,,,,image/jpeg,,,,,,,,,,,,
coll047,20200504-192947.jpg,,,20200504-192947.jpg,,2020,,,,,,,,,,image/jpeg,,,,,,,,,,,,
coll048,20200504-192951.jpg,,,20200504-192951.jpg,,2020,,,,,,,,,,image/jpeg,,,,,,,,,,,,
coll049,20200504-192952.jpg,,,20200504-192952.jpg,,2020,,,,,,,,,,image/jpeg,,,,,,,,,,,,
coll050,20200504-193024.jpg,,,20200504-193024.jpg,,2020,,,,,,,,,,image/jpeg,,,,,,,,,,,,
coll051,20210526-132121.jpg,,,20210526-132121.jpg,,2021,,,,,,,,,,image/jpeg,,,,,,,,,,,,
coll052,20210526-132136.jpg,,,20210526-132136.jpg,,2021,,,,,,,,,,image/jpeg,,,,,,,,,,,,
coll053,20210526-132143.jpg,,,20210526-132143.jpg,,2021,,,,,,,,,,image/jpeg,,,,,,,,,,,,
coll054,20211011-160641.jpg,,,20211011-160641.jpg,,2021,,,,,,,,,,image/jpeg,,,,,,,,,,,,
coll055,20220115-170704.jpg,,,20220115-170704.jpg,,2022,,,,,,,,,,image/jpeg,,,,,,,,,,,,
coll056,20220119-104008.jpg,,,20220119-104008.jpg,,2022,,,,,,,,,,image/jpeg,,,,,,,,,,,,
coll057,20220119-104040.jpg,,,20220119-104040.jpg,,2022,,,,,,,,,,image/jpeg,,,,,,,,,,,,
coll058,20220119-104044.jpg,,,20220119-104044.jpg,,2022,,,,,,,,,,image/jpeg,,,,,,,,,,,,
coll059,20220203-112529.jpg,,,20220203-112529.jpg,,2022,,,,,,,,,,image/jpeg,,,,,,,,,,,,
coll060,20220204-090406.jpg,,,20220204-090406.jpg,,2022,,,,,,,,,,image/jpeg,,,,,,,,,,,,
coll061,DSC00957.jpg,,,DSC00957.jpg,,1900,,,,,,,,,,image/jpeg,,,,,,,,,,,,
coll062,DSC00958.jpg,,,DSC00958.jpg,,1900,,,,,,,,,,image/jpeg,,,,,,,,,,,,
